ViewPage,Title,Company,Location,Metadata,Summary
https://uk.indeed.com/viewjob?jk=4dc6059362089c61,Kubernetes Software Developer [Remote - England],Confluent,Remote in England,Full-time,"Design, implement and maintain Golang infrastructure services (typically implemented as Kubernetes operators) to deliver the Confluent cloud foundations to the…"
https://uk.indeed.com/viewjob?jk=8f26528f58e50614,Cloud Identity Software Engineer,"JPMorgan Chase Bank, N.A.",Glasgow,Permanent +1,"ITP provides secure and trusted authentication, authorization, federation services, and privileged access to digital identities across on-premise and multi…"
https://uk.indeed.com/viewjob?jk=fc9e8fc5ad54da14,"Principal Engineer – Compute, Connect & Governance",Wise(formerly Transferwise),London,"£140,000 - £180,000 a year","They have extensive industry experience and are often recognized as being industry experts in their chosen fields.
 Background in product development is ideal."
https://uk.indeed.com/viewjob?jk=ed1ebcc3c6035738,Senior Developer – Java / Go – remote,Shift F5,Remote,Permanent,"You will join a Development team of 9 people as one of the Senior figures, responsible for designing, testing, deploying and maintaining backend infrastructure."
https://uk.indeed.com/viewjob?jk=e33df33022666105,Head of Performance Engineering,Snow Software,Bracknell,Full-time,"The individual will work closely with architecture teams, technical product leads and developers to assist in both logical and physical solution design of the…"
https://uk.indeed.com/viewjob?jk=a9593e0d4d1d59c0,API Developer,Henderson Scott,Hybrid remote in London,"£90,000 - £100,000 a yearPermanent","In this role you will be the primary API Developer for our organisation's rapidly growing product, you will develop new business logic and export it in a…"
https://uk.indeed.com/viewjob?jk=0fc83dbfccee85ef,"Engineering Manager - Public Cloud, Python, Golang",Canonical - Jobs,Remote in London+3 locations,,As an engineering manager you need to bring both technical and management skills to the leadership of your team.
https://uk.indeed.com/viewjob?jk=8987d731dd5019c7,Associate Software Engineer,N-able,Hybrid remote in Edinburgh EH3,Full-time,"Analyse bugs and implements fixes and improvements.
 Assists with customer issues resolution, root cause analysis, and issue prevention."
https://uk.indeed.com/viewjob?jk=62dc9f0bb3f6eabb,Software Engineering Manager,ANS Group,Hybrid remote in Manchester,Apprenticeship,"With AWS and Azure we can get our customer integrations up quickly and effectively.
 We use PHP, JS, Python, Golang, VMWare, and Kubernetes."
https://uk.indeed.com/viewjob?jk=d850904231701f73,DevSecOps Engineer,Mcgregor Boyall,London,"£80,000 - £110,000 a yearPermanent","As a DevSecOps Engineer, role will work across the CISO and wider Technology organisations to aid in the development of innovative solutions which will improve…"
https://uk.indeed.com/viewjob?jk=edd6616b79637dbc,Lead Software Developer Go / Golang - Remote,Client Server,Remote in London,"£100,000 - £110,000 a yearPermanent","Lead Software Developer / Technical Lead (Golang) *Remote*.
 Award-winning start-up with huge financial backing is seeking an accomplished technologist with…"
https://uk.indeed.com/viewjob?jk=8713e01811e30508,AWS Engineer,Pertemps Network Group,Manchester+1 location,"£45,000 - £75,000 a yearPermanent +1","Opportunity to work on huge, impact-making projects within Government and Defence.
 Day-to-day you will help design and deliver transformative cloud solutions,…"
https://uk.indeed.com/viewjob?jk=ab37de1367232481,DevOps Engineer,Arm,Cambridge,,Show more The Productivity Engineering Group at Arm is designed to assist colleagues across all of Arm's Engineering population with infrastructure that is…
https://uk.indeed.com/viewjob?jk=b8d4b15a7b0413a7,Senior Developer (Go) | £65-£95K | UK Remote,SearchPilot,Temporarily Remote in London EC3M,Full-time,SearchPilot is looking for an experienced *UK-based Senior Developer *who has a holistic approach to coding and how to make engineering improvements – we’re…
https://uk.indeed.com/viewjob?jk=67404cfe76fc14a0,Senior Golang Developer,People Source Consulting,London,"£90,000 - £105,000 a yearPermanent","Principle Golang Developer / Golang Team Lead – Remote (Permanent role if UK based, B2B/Sole Trader if overseas) People Source Consulting are recruiting a…"
https://uk.indeed.com/viewjob?jk=d341e958523ff256,SOFTWARE ENGINEER – UNIFIED COMMUNICATIONS,Armour Communications,London,,"What will you be doing? We have several product lines of mobile communications systems for Android, iOS and Windows 10. We are looking to expand our…"
https://uk.indeed.com/viewjob?jk=cc1c47e28425d07b,Linux System Administrator – Remote,Shift F5,Remote in United Kingdom,"£40,000 - £60,000 a yearPermanent","Linux, Bash, IoT, Docker, Python, Ansible, Postgres, Kubernetes, DevOps Location: London, UK (fully remote) Salary: £40,000 – £60,000 R equirements:…"
https://uk.indeed.com/viewjob?jk=ac9653ceae127627,Graduate Software Engineer - Glasgow,M Three Corporate Consulting,Glasgow+1 location,,"Want to start your career as a Software Developer? Paid graduate training, ongoing support, opportunities at leading global employers – the Alumni graduate…"
https://uk.indeed.com/viewjob?jk=669d5eacd66d637f,Software Engineer,Viasat,Remote in London,,"Job Description One team. Global challenges. Infinite opportunities. At Viasat, we’re on a mission to deliver connections with the capacity to change the world…"
https://uk.indeed.com/viewjob?jk=7a7193bcad57cbd5,Software Engineers - GO / GoLang - Fully Remote,Sanderson Recruitment Plc,Remote in London,"£60,000 - £90,000 a yearPermanent","Software Engineers - Go, GoLang / GO Software Engineer / GO Lang Software Engineer / Software Developer We are looking for multiple Software developer…"
https://uk.indeed.com/viewjob?jk=a7b49b9969fe62bf,Golang Developer Microservices,Client Server,Remote in London,"£75,000 - £90,000 a yearPermanent",Golang Developer (Go Python Microservices AWS JavaScript). Are you a tech passionate Golang Developer? Do you have an interest in the Cyber Security space and…
https://uk.indeed.com/viewjob?jk=50b3d6b1cbb5b58d,Software Engineer,Maersk,Maidenhead,Full-time,"Maersk is achieving an unprecedented transformation in the growth of our business, rethinking the way we engage with customers and partners, and how the world…"
https://uk.indeed.com/viewjob?jk=818f9241638d70f2,Go Developer / Backend Software Engineer IoT,Client Server,Remote in London,"£80,000 - £90,000 a yearPermanent",Go Developer / Backend Software Engineer (Golang Cloud IoT) *Hybrid WFH*. Do you have commercial Go / Golang development experience and a strong knowledge of…
https://uk.indeed.com/viewjob?jk=c46241cf499c80c9,Front End Developer,REKKI,Remote in London,,What is REKKI? REKKI (https://rekki.com/) is transforming the way restaurants order ingredients from their suppliers. Our mobile app makes placing orders fast…
https://uk.indeed.com/viewjob?jk=568be68f34025fa9,Graduate Software Engineer,Seldon,Hybrid remote in London,,Seldon is looking for talented Graduate software engineers to join our growing Tech team. You will have the opportunity to: Contribute to a variety of…
https://uk.indeed.com/viewjob?jk=3e6cff278f29ec31,Engineer - Frontend - Customer and Data,Sainsburys,Manchester M4+1 location,Permanent +1,"We’re a multi-channel, multi-brand business serving millions of customers a day, with the UK’s largest loyalty scheme and an ever-evolving set of digital…"
https://uk.indeed.com/viewjob?jk=643b3acf1f1ebd6a,Engineer - Full Stack (React + Go) - Customer & Data,Sainsburys,London EC1N,Permanent +2,"We’re a multi-channel, multi-brand business serving millions of customers a day, with the UK’s largest loyalty scheme and an ever-evolving set of digital…"
https://uk.indeed.com/viewjob?jk=15fe1be18586dbc3,Graduate Software Developer- UK,M Three Corporate Consulting,London,,"Want to start your career as a Software Developer? Paid graduate training, ongoing support, opportunities at leading global employers – the Alumni graduate…"
https://uk.indeed.com/viewjob?jk=117d3d87e62b70ec,Front End Developer,Consortia,Temporarily Remote in London,"£85,000 a yearPermanent",Fancy going toe-to-toe with the big boys in the music game like Spotify and SoundCloud? This startup is looking to grow their team and need an extra Front End…
https://uk.indeed.com/viewjob?jk=f2e178bf1ea03b78,Private Cloud Platform Engineer,"JPMorgan Chase Bank, N.A.",Glasgow,Permanent +1,"Description The Cloud Platform Engineering group is responsible for defining, developing, engineering and operating cloud products consumed by our…"
https://uk.indeed.com/viewjob?jk=ad86441fd651edf3,Senior GoLang Engineer,Just eat Takeaway.com,Temporarily Remote in London,,Senior GoLang Engineer Are you a Senior GoLang Engineer with a passion for microservices and event driven design? Want to work on exciting projects at the…
https://uk.indeed.com/viewjob?jk=c799dd20bd7dc840,Senior Software Engineer,N-able,Hybrid remote in Dundee DD1+1 location,Full-time,Overview: N-able is the leading global provider of complete IT Management and Automation solutions for Managed Service Providers (MSPs) and we are looking for…
